subject,predicate,object
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-814_19751018-0039,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19751018-0039
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-5170_19610620-0006,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/hours,260.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-2971_19650303-0019,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19650303-0019
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-853,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ExaminedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19560812-0016
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-2881_19590129-0004,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-3706,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/academicYear,2016-2017
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-1046_19600814-0002,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/TrackedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-1046
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19871023-0038,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/personName,Student 39
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-949_19560812-0016,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/hours,246.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-5355_19930508-0061,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19930508-0061
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-1372_19900902-0114,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-3503_19910403-0131,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19910403-0131
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-4686_19770713-0042,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/TrackedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-4686
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Courses/1129,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/IncludedIn,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10072.1129.2019-2020.3.0.elective
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-4995,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ExaminedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19601021-0018
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-2927_19930414-0106,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19930414-0106
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10041.1224.2017-2018.2.0.elective,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10051.1078.2023-2024.2.0.elective,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-665_19790426-0049,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/hours,140.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-1397,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CoursePlanning
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-3257_19611219-0014,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10001.1183.2019-2020.1.0.compulsory-elective,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/academicYear,2019-2020
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10021.1163.2021-2022.2.0.elective,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/studyYear,2.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Registrations/I-2885_19980609-0023,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Registrations
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Registrations/I-2835_19910927-0128,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Registrations
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-2324,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/assistantHours,200
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-2914_19761009-0055,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-2581_19690917-0022,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19690917-0022
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Registrations/I-3926_19920917-0109,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/status,completed
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-1535_19690408-0009,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/hours,259.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-71,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/academicYear,2019-2020
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-412,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/studyPeriod,4.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-520_19620831-0024,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/hours,278.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-4313_19760524-0046,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/TrackedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-4313
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-1849,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-1108,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ExaminedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19600814-0002
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-3733,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/assistantHours,420
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-1236_19790708-0041,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19790708-0041
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-1862,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ExaminedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19640414-0013
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-585_19601021-0018,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Registrations/I-264_19960213-0001,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/RegisteredFor,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-264
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-2155,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/studyPeriod,3.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-3923,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/assistantHours,280
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-1243_19930414-0106,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10034.1157.2017-2018.2.0.compulsory-elective,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/DefinedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Programmes/10034
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-1945,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/academicYear,2017-2018
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-966_19790708-0041,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AllocatedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-966
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-4713,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/instanceID,I-4713
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-2308_19750722-0060,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/hours,120.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-940_19590129-0004,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19590129-0004
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10051.1221.2020-2021.1.0.compulsory,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/studyYear,1.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Courses/1248,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/IncludedIn,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10053.1248.2020-2021.2.0.elective
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-5219_19660630-0020,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/hours,269.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-421_19750512-0043,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/hours,120.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Registrations/I-1567_19990816-0005,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/grade,3.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-3701_19761024-0034,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AllocatedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-3701
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-2367,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/studyPeriod,1.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-3553_19750906-0032,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10012.1128.2022-2023.3.0.compulsory,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/DefinedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Programmes/10012
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10033.1213.2016-2017.2.0.elective,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/DefinedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Programmes/10033
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Courses/1117,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/credits,7
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-2102_19570828-0008,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19570828-0008
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-2531,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/instanceID,I-2531
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10001.1258.2016-2017.2.0.compulsory,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/courseType,compulsory
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-5067_19910403-0103,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/hours,140.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-2704_19790717-0045,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/hours,100.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-5349_19781130-0054,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19781130-0054
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-4368,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/studyPeriod,4.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Courses/1103,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/IncludedIn,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10001.1103.2015-2016.3.0.compulsory-elective
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-3424_19600905-0003,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/hours,260.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-5493_19690513-0015,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19690513-0015
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10034.1291.2022-2023.2.0.compulsory-elective,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/academicYear,2022-2023
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-1399_19760524-0046,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-2876_19560705-0025,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19560705-0025
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-3661_19570615-0011,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/hours,260.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10054.1153.2019-2020.3.0.compulsory-elective,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/courseType,compulsory-elective
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Registrations/I-2825_19900902-0090,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/status,completed
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-4434_19660630-0020,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10071.1085.2013-2014.1.0.elective,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/DefinedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Programmes/10071
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19960118-0040,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/RegisteredBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Registrations/I-5020_19960118-0040
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-723_19750705-0033,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19750705-0033
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-642_19590129-0004,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-3013_19930414-0106,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19930414-0106
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-1018,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/assistantHours,200
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-2065_19750122-0056,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19750122-0056
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10074.1193.2022-2023.2.0.compulsory,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/studyYear,2.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-3254_19640220-0029,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/hours,260.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-1601_19560612-0010,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10061.1268.2022-2023.2.0.elective,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/academicYear,2022-2023
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-4999,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/academicYear,2019-2020
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-3570_19781125-0031,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19781125-0031
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-4855_19561222-0030,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19561222-0030
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Registrations/I-3802_19900124-0064,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Registrations
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses/10032.1169.2017-2018.1.0.elective,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ProgrammeCourses
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19971122-0021,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/RegisteredBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Registrations/I-5242_19971122-0021
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-2563,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/seniorHours,260
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-4605_19930616-0127,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AllocatedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-4605
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-5376_19900619-0076,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-2100,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/assistantHours,420
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-4189,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/instanceID,I-4189
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedHours/I-1913_19900909-0123,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/AssignedTo,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/Person/19900909-0123
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-958_19780317-0052,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/hours,139.0
http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/ReportedHours/I-2786_19781125-0031,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/TrackedBy,http://www.semanticweb.org/edgar/ontologies/2025/3/untitled-ontology-2/CourseInstances/I-2786
